OPERATION_TYPE,OP_COUNT,THREAD_COUNT,OP_TYPE_PERCENT,RANDOM_KEYS(Y/N),TOTAL_COST,AVG_COST_PER_THREAD,TOTAL_COST_PER_OP,AVG_COST_PER_OP,TOTAL_THROUGHPUT,AVG_THROUGHPUT
p-rw(w),10000000,4,75,0,443.000000,110.750000,0.000236,0.000059,67729.432265,16932.358066
p-read,10000000,12,100,0,11956.000000,996.333333,0.001196,0.000100,120442.170693,10036.847558
p-rw(r),10000000,6,75,0,342.000000,57.000000,0.000274,0.000046,131578.947368,21929.824561
p-rw(w),10000000,6,25,0,203.000000,33.833333,0.000487,0.000081,73966.305344,12327.717557
p-rw(r),10000000,6,50,0,510.000000,85.000000,0.000612,0.000102,58823.505882,9803.917647
p-rw(w),10000000,6,50,0,464.000000,77.333333,0.000557,0.000093,64668.354091,10778.059015
p-rw(r),10000000,6,25,0,421.000000,70.166667,0.001010,0.000168,36391.501603,6065.250267
p-rw(w),10000000,6,75,0,630.000000,105.000000,0.000504,0.000084,71441.784261,11906.964043
p-read,10000000,16,100,0,20225.000000,1264.062500,0.002023,0.000126,126576.567845,7911.035490
p-rw(r),10000000,8,75,0,442.000000,55.250000,0.000471,0.000059,135765.550239,16970.693780
p-rw(w),10000000,8,25,0,264.000000,33.000000,0.000845,0.000106,75792.390820,9474.048852
p-rw(r),10000000,8,50,0,656.000000,82.000000,0.001050,0.000131,60975.609756,7621.951220
p-rw(w),10000000,8,50,0,569.000000,71.125000,0.000910,0.000114,70342.098468,8792.762308
p-rw(r),10000000,8,25,0,719.000000,89.875000,0.002301,0.000288,28080.661351,3510.082669
p-rw(w),10000000,8,75,0,864.000000,108.000000,0.000922,0.000115,69472.024510,8684.003064
p-read,10000000,24,100,0,43752.000000,1823.000000,0.004375,0.000182,131651.285964,5485.470248
p-rw(r),10000000,12,75,0,664.000000,55.333333,0.001062,0.000089,135572.939991,11297.744999
p-rw(w),10000000,12,25,0,391.000000,32.583333,0.001877,0.000156,76806.546747,6400.545562
p-rw(r),10000000,12,50,0,926.000000,77.166667,0.002222,0.000185,64817.706498,5401.475541
p-rw(w),10000000,12,50,0,768.000000,64.000000,0.001843,0.000154,78160.168578,6513.347381
p-rw(r),10000000,12,25,0,1278.000000,106.500000,0.006134,0.000511,23476.738056,1956.394838
p-rw(w),10000000,12,75,0,1242.000000,103.500000,0.001987,0.000166,72516.007539,6043.000628
